preset_name,nozzle_variant,nozzle_diameter,high_flow,indx,filament_type,filament_vendor,filament_max_volumetric_speed,temperature,first_layer_temperature,bed_temperature,first_layer_bed_temperature,chamber_temperature,chamber_minimal_temperature,extrusion_multiplier,filament_abrasive,filament_retract_length,filament_retract_speed,min_fan_speed,max_fan_speed,cooling,fan_always_on,filament_shrinkage_compensation_xy,pressure_advance_m572_s,pa_conditional,pa_note
Buddy3D PETG @COREONE HF0.4,HF0.4,0.4,1,0,PETG,Buddy3D,21,255,255,85,85,35,0,1,,0.8,,30,60,1,1,,0.055,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PETG @COREONE HF0.5,HF0.5,0.5,1,0,PETG,Buddy3D,24,255,255,85,85,35,0,1,,0.8,,30,60,1,1,,0.049,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PETG @COREONE HF0.6,HF0.6,0.6,1,0,PETG,Buddy3D,27,255,255,85,85,35,0,1,,0.8,,30,60,1,1,,0.039,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PETG @COREONE HF0.8,HF0.8,0.8,1,0,PETG,Buddy3D,33,260,260,85,85,35,0,1,,0.8,,30,65,1,1,,0.028,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ASA @COREONE,0.4,0.4,0,0,ASA,Buddy3D,12,260,260,110,110,55,40,1,,,,20,25,1,1,0.22%,0.03,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ASA @COREONE 0.6,0.6,0.6,0,0,ASA,Buddy3D,14,260,260,110,110,55,40,1,,,,20,25,1,1,0.22%,0.02,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ASA @COREONE 0.8,0.8,0.8,0,0,ASA,Buddy3D,17,260,260,110,110,55,40,1,,,,20,30,1,1,0.22%,0.014,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ASA @COREONE HF0.4,HF0.4,0.4,1,0,ASA,Buddy3D,20,265,265,110,110,55,40,1,,,,20,25,1,1,0.22%,0.03,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ASA @COREONE HF0.5,HF0.5,0.5,1,0,ASA,Buddy3D,20,265,265,110,110,55,40,1,,,,20,25,1,1,0.22%,0.025,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ASA @COREONE HF0.6,HF0.6,0.6,1,0,ASA,Buddy3D,24,265,265,110,110,55,40,1,,,,20,25,1,1,0.22%,0.02,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ASA @COREONE HF0.8,HF0.8,0.8,1,0,ASA,Buddy3D,27,270,270,110,110,55,40,1,,,,20,30,1,1,0.22%,0.014,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS @COREONE,0.4,0.4,0,0,ABS,Buddy3D,15,255,255,110,110,55,40,0.96,,,,15,20,1,0,0.22%,0.025,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS @COREONE 0.6,0.6,0.6,0,0,ABS,Buddy3D,15,255,255,110,110,55,40,0.96,,,,15,20,1,0,0.22%,0.018,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS @COREONE 0.8,0.8,0.8,0,0,ABS,Buddy3D,18,260,260,110,110,55,40,0.96,,,,15,20,1,0,0.22%,0.012,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS @COREONE HF0.4,HF0.4,0.4,1,0,ABS,Buddy3D,25,255,255,110,110,55,40,0.96,,,,15,20,1,0,0.22%,0.025,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS @COREONE HF0.5,HF0.5,0.5,1,0,ABS,Buddy3D,27,255,255,110,110,55,40,0.96,,,,15,20,1,0,0.22%,0.021,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS @COREONE HF0.6,HF0.6,0.6,1,0,ABS,Buddy3D,34,255,255,110,110,55,40,0.96,,,,15,20,1,0,0.22%,0.018,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS @COREONE HF0.8,HF0.8,0.8,1,0,ABS,Buddy3D,36,260,260,110,110,55,40,0.96,,,,15,20,1,0,0.22%,0.012,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS MATT @COREONE,0.4,0.4,0,0,ABS,Buddy3D,15,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.02,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS MATT @COREONE 0.6,0.6,0.6,0,0,ABS,Buddy3D,15,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.012,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS MATT @COREONE 0.8,0.8,0.8,0,0,ABS,Buddy3D,18,260,260,110,110,55,40,1,,,,15,20,1,0,0.22%,0.01,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS MATT @COREONE HF0.4,HF0.4,0.4,1,0,ABS,Buddy3D,25,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.02,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS MATT @COREONE HF0.5,HF0.5,0.5,1,0,ABS,Buddy3D,27,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.018,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS MATT @COREONE HF0.6,HF0.6,0.6,1,0,ABS,Buddy3D,34,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.015,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS MATT @COREONE HF0.8,HF0.8,0.8,1,0,ABS,Buddy3D,36,260,260,110,110,55,40,1,,,,15,20,1,0,0.22%,0.01,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS ESD @COREONE,0.4,0.4,0,0,ABS,Buddy3D,15,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.02,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS ESD @COREONE 0.6,0.6,0.6,0,0,ABS,Buddy3D,15,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.012,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS ESD @COREONE 0.8,0.8,0.8,0,0,ABS,Buddy3D,18,260,260,110,110,55,40,1,,,,15,20,1,0,0.22%,0.01,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS ESD @COREONE HF0.4,HF0.4,0.4,1,0,ABS,Buddy3D,25,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.02,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS ESD @COREONE HF0.5,HF0.5,0.5,1,0,ABS,Buddy3D,27,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.018,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS ESD @COREONE HF0.6,HF0.6,0.6,1,0,ABS,Buddy3D,34,255,255,110,110,55,40,1,,,,15,20,1,0,0.22%,0.015,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D ABS ESD @COREONE HF0.8,HF0.8,0.8,1,0,ABS,Buddy3D,36,260,260,110,110,55,40,1,,,,15,20,1,0,0.22%,0.01,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb bronzeFill @COREONE,0.4,0.4,0,0,PLA,ColorFabb,4,210,215,60,60,20,0,1.05,1,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb bronzeFill @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,9,210,215,60,60,20,0,1.05,1,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb bronzeFill @COREONE 0.8,0.8,0.8,0,0,PLA,ColorFabb,9,210,215,60,60,20,0,1.05,1,,,85,100,1,1,,0.014,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb steelFill @COREONE,0.4,0.4,0,0,PLA,ColorFabb,4,210,215,60,60,20,0,1.04,1,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb steelFill @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,9,210,215,60,60,20,0,1.04,1,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb steelFill @COREONE 0.8,0.8,0.8,0,0,PLA,ColorFabb,12.5,210,215,60,60,20,0,1.04,1,,,85,100,1,1,,0.014,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb copperFill @COREONE,0.4,0.4,0,0,PLA,ColorFabb,4,210,215,60,60,20,0,1.06,1,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb copperFill @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,9,210,215,60,60,20,0,1.06,1,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb copperFill @COREONE 0.8,0.8,0.8,0,0,PLA,ColorFabb,12.5,210,215,60,60,20,0,1.06,1,,,85,100,1,1,,0.014,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb HT @COREONE,0.4,0.4,0,0,PETG,ColorFabb,5,270,270,110,110,35,0,1,,0.8,,10,25,1,0,,0.053,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb HT @COREONE 0.6,0.6,0.6,0,0,PETG,ColorFabb,10,260,270,110,110,35,0,1,,0.8,,15,25,1,0,,0.032,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb HT @COREONE 0.8,0.8,0.8,0,0,PETG,ColorFabb,14,270,270,110,110,35,0,1,,0.8,,15,25,1,0,,0.018,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb HT @COREONE HF0.4,HF0.4,0.4,1,0,PETG,ColorFabb,12,270,270,110,110,35,0,1,,0.8,,10,25,1,0,,0.047,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb HT @COREONE HF0.5,HF0.5,0.5,1,0,PETG,ColorFabb,12,270,270,110,110,35,0,1,,0.8,,10,25,1,0,,0.042,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb HT @COREONE HF0.6,HF0.6,0.6,1,0,PETG,ColorFabb,15,270,270,110,110,35,0,1,,0.8,,15,25,1,0,,0.033,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb HT @COREONE HF0.8,HF0.8,0.8,1,0,PETG,ColorFabb,20,270,270,110,110,35,0,1,,0.8,,15,25,1,0,,0.021,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA-PHA @COREONE,0.4,0.4,0,0,PLA,ColorFabb,10,220,230,60,60,20,0,1,,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA-PHA @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,15.5,220,230,60,60,20,0,1,,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA-PHA @COREONE 0.8,0.8,0.8,0,0,PLA,ColorFabb,19,220,230,60,60,20,0,1,,,,85,100,1,1,,0.014,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA-PHA @COREONE HF0.4,HF0.4,0.4,1,0,PLA,ColorFabb,15,220,230,60,60,20,0,1,,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA-PHA @COREONE HF0.5,HF0.5,0.5,1,0,PLA,ColorFabb,15,220,230,60,60,20,0,1,,,,85,100,1,1,,0.026,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA-PHA @COREONE HF0.6,HF0.6,0.6,1,0,PLA,ColorFabb,28,220,230,60,60,20,0,1,,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA-PHA @COREONE HF0.8,HF0.8,0.8,1,0,PLA,ColorFabb,35,220,230,60,60,20,0,1,,,,85,100,1,1,,0.015,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb woodFill @COREONE,0.4,0.4,0,0,PLA,ColorFabb,9,200,200,60,60,20,0,1.05,,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb woodFill @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,13,200,200,60,60,20,0,1.03,,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb woodFill @COREONE 0.8,0.8,0.8,0,0,PLA,ColorFabb,16,200,200,60,60,20,0,1.03,,,,85,100,1,1,,0.014,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb corkFill @COREONE,0.4,0.4,0,0,PLA,ColorFabb,5,220,220,60,60,20,0,1.05,1,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb corkFill @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,10,215,220,60,60,20,0,1.03,1,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb corkFill @COREONE 0.8,0.8,0.8,0,0,PLA,ColorFabb,13,215,220,60,60,20,0,1.03,1,,,85,100,1,1,,0.014,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT @COREONE,0.4,0.4,0,0,PETG,ColorFabb,6,260,260,90,85,35,0,1,,0.8,,30,60,1,1,,0.053,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT @COREONE 0.6,0.6,0.6,0,0,PETG,ColorFabb,10,260,260,90,85,35,0,1,,0.8,,30,60,1,1,,0.032,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT @COREONE 0.8,0.8,0.8,0,0,PETG,ColorFabb,14,260,260,90,85,35,0,1,,0.8,,30,65,1,1,,0.018,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT @COREONE HF0.4,HF0.4,0.4,1,0,PETG,ColorFabb,10,260,260,90,85,35,0,1,,0.8,,30,60,1,1,,0.047,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT @COREONE HF0.5,HF0.5,0.5,1,0,PETG,ColorFabb,12,260,260,90,85,35,0,1,,0.8,,30,60,1,1,,0.042,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT @COREONE HF0.6,HF0.6,0.6,1,0,PETG,ColorFabb,15,260,260,90,85,35,0,1,,0.8,,30,60,1,1,,0.033,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT @COREONE HF0.8,HF0.8,0.8,1,0,PETG,ColorFabb,19,260,260,90,85,35,0,1,,0.8,,30,65,1,1,,0.021,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT-CF20 @COREONE,0.4,0.4,0,0,PETG,ColorFabb,4.8,260,260,90,90,35,0,1,1,0.8,,30,60,1,1,,0.053,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT-CF20 @COREONE 0.6,0.6,0.6,0,0,PETG,ColorFabb,7,260,260,90,90,35,0,1,1,0.8,,30,60,1,1,,0.032,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb XT-CF20 @COREONE 0.8,0.8,0.8,0,0,PETG,ColorFabb,10,260,260,90,90,35,0,1,1,0.8,,30,65,1,1,,0.018,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen @COREONE,0.4,0.4,0,0,NGEN,ColorFabb,12,240,240,90,85,35,0,1,,0.8,,15,25,1,0,,0.053,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen @COREONE 0.6,0.6,0.6,0,0,NGEN,ColorFabb,17,235,240,90,85,35,0,1,,0.8,,15,25,1,0,,0.032,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen @COREONE 0.8,0.8,0.8,0,0,NGEN,ColorFabb,22,240,240,90,85,35,0,1,,0.8,,15,25,1,0,,0.018,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen @COREONE HF0.4,HF0.4,0.4,1,0,NGEN,ColorFabb,22,240,240,90,85,35,0,1,,0.8,,15,25,1,0,,0.047,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen @COREONE HF0.5,HF0.5,0.5,1,0,NGEN,ColorFabb,24,240,240,90,85,35,0,1,,0.8,,15,25,1,0,,0.042,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen @COREONE HF0.6,HF0.6,0.6,1,0,NGEN,ColorFabb,30,235,240,90,85,35,0,1,,0.8,,15,25,1,0,,0.033,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen @COREONE HF0.8,HF0.8,0.8,1,0,NGEN,ColorFabb,36,240,240,90,85,35,0,1,,0.8,,15,25,1,0,,0.021,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen flex @COREONE,0.4,0.4,0,0,FLEX,ColorFabb,5,260,260,85,85,30,0,1,,2.5,60,20,20,1,0,,,,no M572 in start_filament_gcode
ColorFabb nGen flex @COREONE 0.6,0.6,0.6,0,0,FLEX,ColorFabb,6,250,260,85,85,30,0,1,,,60,20,20,1,0,,,,no M572 in start_filament_gcode
ColorFabb nGen flex @COREONE 0.8,0.8,0.8,0,0,FLEX,ColorFabb,9,255,260,85,85,30,0,1,,,60,20,20,1,0,,,,no M572 in start_filament_gcode
ColorFabb PLA High Speed PRO @COREONE,0.4,0.4,0,0,PLA,ColorFabb,15,220,230,60,60,20,0,0.99,,,,85,100,1,1,,0.03,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA High Speed PRO @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,15.5,220,230,60,60,20,0,0.99,,,,85,100,1,1,,0.021,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA High Speed PRO @COREONE 0.8,0.8,0.8,0,0,PLA,ColorFabb,19,220,230,60,60,20,0,0.99,,,,85,100,1,1,,0.012,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA High Speed PRO @COREONE HF0.4,HF0.4,0.4,1,0,PLA,ColorFabb,22,220,230,60,60,20,0,0.99,,,,85,100,1,1,,0.03,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA High Speed PRO @COREONE HF0.5,HF0.5,0.5,1,0,PLA,ColorFabb,22,220,230,60,60,20,0,0.99,,,,85,100,1,1,,0.024,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA High Speed PRO @COREONE HF0.6,HF0.6,0.6,1,0,PLA,ColorFabb,25,220,230,60,60,20,0,0.99,,,,85,100,1,1,,0.021,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA High Speed PRO @COREONE HF0.8,HF0.8,0.8,1,0,PLA,ColorFabb,30,220,230,60,60,20,0,0.99,,,,85,100,1,1,,0.012,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb Vibers @COREONE,0.4,0.4,0,0,PLA,ColorFabb,4,210,210,60,60,20,0,1,1,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb Vibers @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,6,210,210,60,60,20,0,1,1,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb GlowFill @COREONE,0.4,0.4,0,0,PLA,ColorFabb,4,210,210,60,60,20,0,1,1,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb GlowFill @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,7,210,210,60,60,20,0,1,1,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb allPHA @COREONE,0.4,0.4,0,0,PLA,ColorFabb,4,200,200,0,0,20,0,1,,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb allPHA @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,6,200,200,0,0,20,0,1,,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA Economy @COREONE,0.4,0.4,0,0,PLA,ColorFabb,10,215,220,60,60,20,0,1,,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA Economy @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,14,215,220,60,60,20,0,1,,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA Economy @COREONE HF0.4,HF0.4,0.4,1,0,PLA,ColorFabb,14,215,220,60,60,20,0,1,,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PLA Economy @COREONE HF0.6,HF0.6,0.6,1,0,PLA,ColorFabb,17,215,220,60,60,20,0,1,,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb rPLA @COREONE,0.4,0.4,0,0,PLA,ColorFabb,10,215,220,60,60,20,0,1,,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb rPLA @COREONE 0.6,0.6,0.6,0,0,PLA,ColorFabb,14,215,220,60,60,20,0,1,,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb rPLA @COREONE HF0.4,HF0.4,0.4,1,0,PLA,ColorFabb,14,215,220,60,60,20,0,1,,,,85,100,1,1,,0.036,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb rPLA @COREONE HF0.6,HF0.6,0.6,1,0,PLA,ColorFabb,17,215,220,60,60,20,0,1,,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PETG @COREONE,0.4,0.4,0,0,PETG,ColorFabb,12,250,250,90,85,35,0,1,,0.8,,30,60,1,1,,0.053,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PETG @COREONE 0.6,0.6,0.6,0,0,PETG,ColorFabb,15,250,250,90,85,35,0,1,,0.8,,30,60,1,1,,0.032,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PETG @COREONE HF0.4,HF0.4,0.4,1,0,PETG,ColorFabb,12,250,250,90,85,35,0,1,,0.8,,30,60,1,1,,0.047,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb PETG @COREONE HF0.6,HF0.6,0.6,1,0,PETG,ColorFabb,17,250,250,90,85,35,0,1,,0.8,,30,60,1,1,,0.033,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb ASA @COREONE,0.4,0.4,0,0,ASA,ColorFabb,10,260,260,105,105,55,40,1,,,,20,25,1,1,0.22%,0.024,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb ASA @COREONE 0.6,0.6,0.6,0,0,ASA,ColorFabb,15,260,260,105,105,55,40,1,,,,20,25,1,1,0.22%,0.017,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb ASA @COREONE HF0.4,HF0.4,0.4,1,0,ASA,ColorFabb,14,260,260,105,105,55,40,1,,,,20,25,1,1,0.22%,0.024,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb ASA @COREONE HF0.6,HF0.6,0.6,1,0,ASA,ColorFabb,18,260,260,105,105,55,40,1,,,,20,25,1,1,0.22%,0.017,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen-CF10 @COREONE,0.4,0.4,0,0,NGEN,ColorFabb,6,245,245,90,85,35,0,1,1,0.8,,30,70,1,1,,0.053,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb nGen-CF10 @COREONE 0.6,0.6,0.6,0,0,NGEN,ColorFabb,10,245,245,90,85,35,0,1,1,0.8,,30,70,1,1,,0.032,conditional,S value templated on nozzle_diameter; resolved for this variant
ColorFabb TPU 95A @COREONE,0.4,0.4,0,0,FLEX,ColorFabb,3.5,240,240,60,60,30,0,1.05,,2,60,45,45,0,1,,,,no M572 in start_filament_gcode
ColorFabb TPU 95A @COREONE 0.6,0.6,0.6,0,0,FLEX,ColorFabb,4.5,240,240,60,60,30,0,1.05,,2,60,45,45,0,1,,,,no M572 in start_filament_gcode
ColorFabb TPU 85A @COREONE,0.4,0.4,0,0,FLEX,ColorFabb,2,240,240,60,60,30,0,1.18,,1.2,60,45,45,0,1,,,,no M572 in start_filament_gcode
ColorFabb TPU 85A @COREONE 0.6,0.6,0.6,0,0,FLEX,ColorFabb,3,240,240,60,60,30,0,1.18,,1.2,60,45,45,0,1,,,,no M572 in start_filament_gcode
ColorFabb PA Neat @COREONE,0.4,0.4,0,0,PA,ColorFabb,3,280,280,100,100,55,40,1.04,,1,,10,25,1,0,0.28%,0.05,conditional,S value templated on nozzle_diameter; resolved for this variant
