preset_name,inherits_chain,nozzle_diameter,nozzle_high_flow,retract_length,retract_speed,deretract_speed,retract_before_wipe,wipe,retract_lift,travel_ramping_lift,travel_max_lift,travel_slope,travel_lift_before_obstacle,machine_max_feedrate_x,machine_max_feedrate_y,machine_max_feedrate_z,machine_max_feedrate_e,machine_max_acceleration_extruding,machine_max_acceleration_travel,machine_max_acceleration_x,machine_max_acceleration_y,machine_max_jerk_x,machine_max_jerk_y,default_print_profile,default_filament_profile,printer_model,printer_variant
Prusa CORE One MMU3 HF0.4 nozzle,Original Prusa MK4 MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 0.4 nozzle -> Original Prusa MK4 Input Shaper 0.4 nozzle -> *commonMK4* -> *common*,"0.4,0.4,0.4,0.4,0.4","1,1,1,1,1","0.7,0.7,0.7,0.7,0.7","45,45,45,45,45","25,25,25,25,25","80%,80%,80%,80%,80%","0,0,0,0,0","0.2,0.2,0.2,0.2,0.2","1,1,1,1,1","1.5,1.5,1.5,1.5,1.5","1,1,1,1,1","0,0,0,0,0","350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONE HF0.4,"""Prusament PLA @COREONE HF0.4""",COREONEMMU3,HF0.4
Prusa CORE One MMU3 0.4 nozzle,Prusa CORE One MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 0.4 nozzle -> Original Prusa MK4 Input Shaper 0.4 nozzle -> *commonMK4* -> *common*,"0.4,0.4,0.4,0.4,0.4","0,0,0,0,0","0.7,0.7,0.7,0.7,0.7","45,45,45,45,45","25,25,25,25,25","80%,80%,80%,80%,80%","0,0,0,0,0","0.2,0.2,0.2,0.2,0.2","1,1,1,1,1","1.5,1.5,1.5,1.5,1.5","1,1,1,1,1","0,0,0,0,0","350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONE HF0.4,"""Prusament PLA @COREONE HF0.4""",COREONEMMU3,0.4
Prusa CORE One MMU3 0.6 nozzle,Prusa CORE One MMU3 0.4 nozzle -> Prusa CORE One MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 0.4 nozzle -> Original Prusa MK4 Input Shaper 0.4 nozzle -> *commonMK4* -> *common*,"0.6,0.6,0.6,0.6,0.6","0,0,0,0,0","0.7,0.7,0.7,0.7,0.7","45,45,45,45,45","25,25,25,25,25","80%,80%,80%,80%,80%","1,1,1,1,1","0.2,0.2,0.2,0.2,0.2","1,1,1,1,1","1.5,1.5,1.5,1.5,1.5","1,1,1,1,1","0,0,0,0,0","350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.25mm SPEED @COREONE 0.6,"""Prusament PLA @COREONE HF0.6""",COREONEMMU3,0.6
Prusa CORE One L HF0.4 nozzle,,0.4,1,0.7,45,25,80%,0,0.2,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONEL HF0.4,"""Prusament PLA @COREONE HF0.4""",COREONEL,HF0.4
Prusa CORE One L 0.25 nozzle,Prusa CORE One L HF0.4 nozzle,0.25,0,0.8,45,25,80%,0,0.15,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","8,8","8,8",0.12mm STRUCTURAL @COREONEL 0.25,"""Prusament PLA @COREONE HF0.4""",COREONEL,0.25
Prusa CORE One L 0.3 nozzle,Prusa CORE One L HF0.4 nozzle,0.3,0,0.7,45,25,80%,0,0.2,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","8,8","8,8",0.16mm STRUCTURAL @COREONEL 0.3,"""Prusament PLA @COREONE HF0.4""",COREONEL,0.3
Prusa CORE One L HF0.5 nozzle,Prusa CORE One L HF0.4 nozzle,0.5,1,0.7,45,25,80%,1,0.2,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONEL HF0.5,"""Prusament PLA @COREONE HF0.5""",COREONEL,HF0.5
Prusa CORE One L HF0.6 nozzle,Prusa CORE One L HF0.4 nozzle,0.6,1,0.7,45,25,80%,1,0.2,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.32mm SPEED @COREONEL HF0.6,"""Prusament PLA @COREONE HF0.6""",COREONEL,HF0.6
Prusa CORE One L HF0.8 nozzle,Prusa CORE One L HF0.4 nozzle,0.8,1,0.6,25,15,50%,1,0.25,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.40mm STRUCTURAL @COREONEL HF0.8,"""Prusament PLA @COREONE HF0.8""",COREONEL,HF0.8
Prusa CORE One L 0.4 nozzle,Prusa CORE One L HF0.4 nozzle,0.4,0,0.7,45,25,80%,0,0.2,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONEL 0.4,"""Prusament PLA @COREONE""",COREONEL,0.4
Prusa CORE One L 0.5 nozzle,Prusa CORE One L HF0.5 nozzle -> Prusa CORE One L HF0.4 nozzle,0.5,0,0.7,45,25,80%,1,0.2,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONEL 0.5,"""Prusament PLA @COREONE""",COREONEL,0.5
Prusa CORE One L 0.6 nozzle,Prusa CORE One L HF0.6 nozzle -> Prusa CORE One L HF0.4 nozzle,0.6,0,0.7,45,25,80%,1,0.2,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.25mm SPEED @COREONEL 0.6,"""Prusament PLA @COREONE 0.6""",COREONEL,0.6
Prusa CORE One L 0.8 nozzle,Prusa CORE One L HF0.8 nozzle -> Prusa CORE One L HF0.4 nozzle,0.8,0,0.6,25,15,50%,1,0.25,1,1.5,1,ABSENT,"500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.40mm QUALITY @COREONEL 0.8,"""Prusament PLA @COREONE 0.8""",COREONEL,0.8
Prusa CORE One L MMU3 HF0.4 nozzle,Original Prusa MK4 MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 0.4 nozzle -> Original Prusa MK4 Input Shaper 0.4 nozzle -> *commonMK4* -> *common*,"0.4,0.4,0.4,0.4,0.4","1,1,1,1,1","0.7,0.7,0.7,0.7,0.7","45,45,45,45,45","25,25,25,25,25","80%,80%,80%,80%,80%","0,0,0,0,0","0.2,0.2,0.2,0.2,0.2","1,1,1,1,1","1.5,1.5,1.5,1.5,1.5","1,1,1,1,1","0,0,0,0,0","500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONEL HF0.4,"""Prusament PLA @COREONE HF0.4""",COREONELMMU3,HF0.4
Prusa CORE One L MMU3 0.4 nozzle,Prusa CORE One L MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 0.4 nozzle -> Original Prusa MK4 Input Shaper 0.4 nozzle -> *commonMK4* -> *common*,"0.4,0.4,0.4,0.4,0.4","0,0,0,0,0","0.7,0.7,0.7,0.7,0.7","45,45,45,45,45","25,25,25,25,25","80%,80%,80%,80%,80%","0,0,0,0,0","0.2,0.2,0.2,0.2,0.2","1,1,1,1,1","1.5,1.5,1.5,1.5,1.5","1,1,1,1,1","0,0,0,0,0","500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONEL HF0.4,"""Prusament PLA @COREONE HF0.4""",COREONELMMU3,0.4
Prusa CORE One L MMU3 0.6 nozzle,Prusa CORE One L MMU3 0.4 nozzle -> Prusa CORE One L MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 HF0.4 nozzle -> Original Prusa MK4 MMU3 0.4 nozzle -> Original Prusa MK4 Input Shaper 0.4 nozzle -> *commonMK4* -> *common*,"0.6,0.6,0.6,0.6,0.6","0,0,0,0,0","0.7,0.7,0.7,0.7,0.7","45,45,45,45,45","25,25,25,25,25","80%,80%,80%,80%,80%","1,1,1,1,1","0.2,0.2,0.2,0.2,0.2","1,1,1,1,1","1.5,1.5,1.5,1.5,1.5","1,1,1,1,1","0,0,0,0,0","500,160","500,160","15,15","100,100","7000,2500","6000,2500","10000,2500","10000,2500","10,8","10,8",0.25mm SPEED @COREONEL 0.6,"""Prusament PLA @COREONE HF0.6""",COREONELMMU3,0.6
Prusa CORE One INDX 8T HF0.4 nozzle,*C1_INDX_8T_common*,"0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4","1,1,1,1,1,1,1,1","0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","40,40,40,40,40,40,40,40","30,30,30,30,30,30,30,30","80%,80%,80%,80%,80%,80%,80%,80%","0,0,0,0,0,0,0,0","0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2","1,1,1,1,1,1,1,1","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5","1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0","350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm Balanced ★ @COREONEINDX HF0.4,"""Prusament PLA @COREONEINDX HF0.4""",COREONE_INDX8T,HF0.4
Prusa CORE One INDX 4T HF0.4 nozzle,*C1_INDX_4T_common* -> *C1_INDX_8T_common*,"0.4,0.4,0.4,0.4","1,1,1,1","0.8,0.8,0.8,0.8","40,40,40,40","30,30,30,30","80%,80%,80%,80%","0,0,0,0","0.2,0.2,0.2,0.2","1,1,1,1","1.5,1.5,1.5,1.5","1,1,1,1","0,0,0,0","350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm Balanced ★ @COREONEINDX HF0.4,"""Prusament PLA @COREONEINDX HF0.4""",COREONE_INDX4T,HF0.4
