name,nozzle_variant,inherits_chain,layer_height,first_layer_height,extrusion_width,external_perimeter_extrusion_width,perimeter_extrusion_width,infill_extrusion_width,solid_infill_extrusion_width,top_infill_extrusion_width,first_layer_extrusion_width,perimeter_speed,external_perimeter_speed,infill_speed,solid_infill_speed,top_solid_infill_speed,first_layer_speed,travel_speed,enable_dynamic_overhang_speeds,overhang_speed_0,overhang_speed_1,overhang_speed_2,overhang_speed_3,default_acceleration,perimeter_acceleration,external_perimeter_acceleration,infill_acceleration,solid_infill_acceleration,top_solid_infill_acceleration,first_layer_acceleration,travel_acceleration,bridge_acceleration,perimeters,perimeter_generator
0.20mm BALANCED @COREONE HF0.4,HF0.4,0.20mm STRUCTURAL @COREONE 0.4 ; *C1_HF04* ; *C1_BALANCED* -> 0.20mm STRUCTURAL @MK4S 0.4 ; *C1_Shared04* ; *C1_STR* -> 0.20mm STRUCTURAL @MK4IS 0.4 ; *MK4S_Shared04* -> *MK4IS_common* -> *C1* -> *C1*,0.2,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,150,200,150,150,100,45,350,1,15,25,50,70%,3000,3000,2500,5000,5000,2000,500,7000,1500,2,arachne
0.15mm SPEED @COREONE 0.4,0.4,0.15mm SPEED @MK4S 0.4 ; *C1_04* ; *C1_SPEED* -> 0.15mm SPEED @MK4IS 0.4 ; *MK4S_04* -> *MK4IS_common* -> *C1*,0.15,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,170,170,200,200,100,45,350,1,15,25,50,80%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.15mm BALANCED @COREONE 0.4,0.4,0.15mm SPEED @COREONE 0.4 -> 0.15mm SPEED @MK4S 0.4 ; *C1_04* ; *C1_SPEED* -> 0.15mm SPEED @MK4IS 0.4 ; *MK4S_04* -> *MK4IS_common* -> *C1*,0.15,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,150,170,150,150,100,45,350,1,15,25,50,80%,3000,3000,2500,5000,6000,2000,500,7000,1500,2,arachne
0.15mm SPEED @COREONE HF0.4,HF0.4,0.15mm SPEED @MK4S HF0.4 ; *C1_HF04* ; *C1_SPEED* -> 0.15mm SPEED @MK4IS HF0.4 ; *MK4S_HF04* -> 0.15mm SPEED @MK4IS 0.4 -> *MK4IS_common* -> *C1*,0.15,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,250,200,300,250,100,45,350,1,15,25,50,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.15mm STRUCTURAL @COREONE 0.4,0.4,0.15mm STRUCTURAL @MK4S 0.4 ; *C1_Shared04* ; *C1_STR* -> 0.15mm STRUCTURAL @MK4IS 0.4 ; *MK4S_Shared04* -> 0.20mm STRUCTURAL @MK4IS 0.4 -> *MK4IS_common* -> *C1*,0.15,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,70,50,120,140,80,45,350,1,15,25,45,90%,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.15mm BALANCED @COREONE HF0.4,HF0.4,0.15mm STRUCTURAL @COREONE 0.4 ; *C1_HF04* ; *C1_BALANCED* -> 0.15mm STRUCTURAL @MK4S 0.4 ; *C1_Shared04* ; *C1_STR* -> 0.15mm STRUCTURAL @MK4IS 0.4 ; *MK4S_Shared04* -> 0.20mm STRUCTURAL @MK4IS 0.4 -> *MK4IS_common* -> *C1* -> *C1*,0.15,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,150,200,150,150,100,45,350,1,15,25,50,70%,3000,3000,2500,5000,5000,2000,500,7000,1500,2,arachne
0.10mm FAST DETAIL @COREONE 0.4,0.4,0.10mm FAST DETAIL @MK4S 0.4 ; *C1_Shared04* -> 0.10mm FAST DETAIL @MK4IS 0.4 ; *MK4S_Shared04* -> 0.15mm SPEED @MK4IS 0.4 -> *MK4IS_common* -> *C1*,0.1,0.2,0.45,0.45,0.45,0.45,0.45,0.4,0.5,145,145,140,200,100,45,350,1,15,25,30,80%,3000,3000,2000,6000,4000,1500,500,7000,1500,2,arachne
0.05mm DETAIL @COREONE 0.25,0.25,0.05mm DETAIL @MK4S 0.25 ; *C1_025* -> 0.05mm DETAIL @MK4IS 0.25 ; *MK4S_025* -> 0.07mm DETAIL @MK4IS 0.25 -> *MK4IS_common025* -> *MK4IS_common* -> *C1*,0.05,0.2,0.27,0.25,0.25,0.25,0.25,0.27,0.32,60,45,100,100,60,25,350,1,15,25,30,80%,3000,1200,800,2500,2000,1000,500,4000,1000,3,arachne
0.07mm DETAIL @COREONE 0.25,0.25,0.07mm DETAIL @MK4S 0.25 ; *C1_025* -> 0.07mm DETAIL @MK4IS 0.25 ; *MK4S_025* -> *MK4IS_common025* -> *MK4IS_common* -> *C1*,0.07,0.2,0.27,0.25,0.25,0.25,0.25,0.27,0.32,60,45,100,140,60,25,350,1,15,25,30,80%,3000,1200,800,2500,2000,1000,500,4000,1000,3,arachne
0.12mm SPEED @COREONE 0.25,0.25,0.12mm SPEED @MK4S 0.25 ; *C1_025* -> 0.12mm SPEED @MK4IS 0.25 ; *MK4S_025* -> *MK4IS_common025* -> *MK4IS_common* -> *C1*,0.12,0.2,0.27,0.27,0.27,0.27,0.27,0.27,0.32,150,150,100,140,60,25,350,1,15,25,30,80%,3000,2000,1500,3000,2500,1000,500,6000,1500,3,arachne
0.12mm STRUCTURAL @COREONE 0.25,0.25,0.12mm STRUCTURAL @MK4S 0.25 ; *C1_025* -> 0.12mm STRUCTURAL @MK4IS 0.25 ; *MK4S_025* -> 0.12mm SPEED @MK4IS 0.25 -> *MK4IS_common025* -> *MK4IS_common* -> *C1*,0.12,0.2,0.27,0.27,0.27,0.27,0.27,0.27,0.32,70,45,100,140,60,25,350,1,15,25,30,80%,3000,1500,1000,2500,2000,1000,500,4000,1500,3,arachne
0.15mm SPEED @COREONE 0.25,0.25,0.15mm SPEED @MK4S 0.25 ; *C1_025* -> 0.15mm SPEED @MK4IS 0.25 ; *MK4S_025* -> 0.12mm SPEED @MK4IS 0.25 -> *MK4IS_common025* -> *MK4IS_common* -> *C1*,0.15,0.2,0.27,0.27,0.27,0.27,0.27,0.27,0.32,150,150,100,140,60,25,350,1,15,25,30,80%,3000,2000,1500,3000,2500,1000,500,6000,1500,3,arachne
0.15mm STRUCTURAL @COREONE 0.25,0.25,0.15mm STRUCTURAL @MK4S 0.25 ; *C1_025* -> 0.15mm STRUCTURAL @MK4IS 0.25 ; *MK4S_025* -> 0.15mm SPEED @MK4IS 0.25 -> 0.12mm SPEED @MK4IS 0.25 -> *MK4IS_common025* -> *MK4IS_common* -> *C1*,0.15,0.2,0.27,0.27,0.27,0.27,0.27,0.27,0.32,70,45,100,140,60,25,350,1,15,25,30,80%,3000,1500,1000,3000,2500,1000,500,4000,1500,3,arachne
0.12mm STRUCTURAL @COREONE 0.3,0.3,0.12mm STRUCTURAL @MK4S 0.3 ; *C1_03* -> 0.12mm STRUCTURAL @MK4IS 0.3 ; *MK4S_03* -> *MK4IS_common03* -> *MK4IS_common* -> *C1*,0.12,0.2,0.34,0.34,0.34,0.34,0.34,0.3,0.4,70,45,100,200,40,45,350,1,15,25,30,80%,3000,1500,1200,5000,2500,1500,500,7000,1000,3,arachne
0.16mm STRUCTURAL @COREONE 0.3,0.3,0.16mm STRUCTURAL @MK4S 0.3 ; *C1_03* -> 0.16mm STRUCTURAL @MK4IS 0.3 ; *MK4S_03* -> 0.12mm STRUCTURAL @MK4IS 0.3 -> *MK4IS_common03* -> *MK4IS_common* -> *C1*,0.16,0.2,0.34,0.34,0.34,0.34,0.34,0.3,0.4,70,50,120,200,50,45,350,1,15,25,30,80%,3000,2000,1500,6000,2500,1500,500,7000,1000,3,arachne
0.16mm SPEED @COREONE 0.3,0.3,0.16mm SPEED @MK4S 0.3 ; *C1_03* -> 0.16mm SPEED @MK4IS 0.3 ; *MK4S_03* -> 0.16mm STRUCTURAL @MK4IS 0.3 -> 0.12mm STRUCTURAL @MK4IS 0.3 -> *MK4IS_common03* -> *MK4IS_common* -> *C1*,0.16,0.2,0.34,0.34,0.34,0.34,0.34,0.3,0.4,160,160,120,200,50,45,350,1,15,25,30,80%,3000,3000,2500,6000,3000,1500,500,7000,1000,3,arachne
0.20mm SPEED @COREONE 0.3,0.3,0.20mm SPEED @MK4S 0.3 ; *C1_03* -> 0.20mm SPEED @MK4IS 0.3 ; *MK4S_03* -> 0.16mm SPEED @MK4IS 0.3 -> 0.16mm STRUCTURAL @MK4IS 0.3 -> 0.12mm STRUCTURAL @MK4IS 0.3 -> *MK4IS_common03* -> *MK4IS_common* -> *C1*,0.2,0.2,0.34,0.34,0.34,0.34,0.34,0.3,0.4,160,160,120,200,50,45,350,1,15,25,30,80%,3000,3000,2500,6000,3000,1500,500,7000,1000,3,arachne
0.20mm STRUCTURAL @COREONE 0.3,0.3,0.20mm STRUCTURAL @MK4S 0.3 ; *C1_03* -> 0.20mm STRUCTURAL @MK4IS 0.3 ; *MK4S_03* -> 0.16mm STRUCTURAL @MK4IS 0.3 -> 0.12mm STRUCTURAL @MK4IS 0.3 -> *MK4IS_common03* -> *MK4IS_common* -> *C1*,0.2,0.2,0.34,0.34,0.34,0.34,0.34,0.3,0.4,70,50,120,200,50,45,350,1,15,25,30,80%,3000,2000,1500,6000,2500,1500,500,7000,1000,3,arachne
0.10mm STRUCTURAL @COREONE 0.5,0.5,0.10mm STRUCTURAL @MK4S 0.5 ; *C1_Shared05* -> 0.10mm STRUCTURAL @MK4IS 0.5 ; *MK4S_Shared05* -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.1,0.2,0.55,0.5,0.5,0.5,0.5,0.45,0.55,70,50,200,200,70,45,350,1,15,25,30,80%,3000,2000,1500,3000,2500,1000,500,7000,1000,2,arachne
0.15mm STRUCTURAL @COREONE 0.5,0.5,0.15mm STRUCTURAL @MK4S 0.5 ; *C1_Shared05* ; *C1_STR* -> 0.15mm STRUCTURAL @MK4IS 0.5 ; *MK4S_Shared05* -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.15,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,70,50,200,180,70,45,350,1,15,25,45,80%,3000,2500,1500,6000,4000,2000,500,7000,1000,2,arachne
0.20mm SPEED @COREONE 0.5,0.5,0.20mm SPEED @MK4S 0.5 ; *C1_05* ; *C1_SPEED* -> 0.20mm SPEED @MK4IS 0.5 ; *MK4S_05* -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.20,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,140,140,200,135,70,45,350,1,15,25,50,80%,3000,6000,3000,7000,6000,2000,500,7000,1000,2,arachne
0.20mm SPEED @COREONE HF0.5,HF0.5,0.20mm SPEED @MK4S HF0.5 ; *C1_HF05* ; *C1_SPEED* -> 0.20mm SPEED @MK4IS HF0.5 ; *MK4S_HF05* -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.20,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,200,200,220,220,70,45,350,1,15,25,50,80%,3000,6000,3000,7000,6000,2000,500,7000,1000,2,arachne
0.20mm STRUCTURAL @COREONE 0.5,0.5,0.20mm STRUCTURAL @MK4S 0.5 ; *C1_Shared05* ; *C1_STR* -> 0.20mm STRUCTURAL @MK4IS 0.5 ; *MK4S_Shared05* -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.20,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,70,50,200,120,70,45,350,1,15,25,45,80%,3000,2500,1500,6000,4000,2000,500,7000,1000,2,arachne
0.20mm BALANCED @COREONE HF0.5,HF0.5,0.20mm STRUCTURAL @COREONE 0.5 ; *C1_HF05* ; *C1_BALANCED* -> 0.20mm STRUCTURAL @MK4S 0.5 ; *C1_Shared05* ; *C1_STR* -> 0.20mm STRUCTURAL @MK4IS 0.5 ; *MK4S_Shared05* -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1* -> *C1*,0.20,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,150,200,150,150,70,45,350,1,15,25,50,70%,3000,3000,2500,5000,5000,2000,500,7000,1000,2,arachne
0.25mm SPEED @COREONE 0.5,0.5,0.25mm SPEED @MK4S 0.5 ; *C1_05* ; *C1_SPEED* -> 0.25mm SPEED @MK4IS 0.5 ; *MK4S_05* -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.25,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,140,140,200,110,70,45,350,1,15,25,50,80%,3000,6000,3000,7000,6000,2000,500,7000,1000,2,arachne
0.25mm SPEED @COREONE HF0.5,HF0.5,0.25mm SPEED @MK4S HF0.5 ; *C1_HF05* ; *C1_SPEED* -> 0.25mm SPEED @MK4IS HF0.5 ; *MK4S_HF05* -> 0.25mm SPEED @MK4IS 0.5 -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.25,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,200,200,200,200,70,45,350,1,15,25,50,80%,3000,6000,3000,7000,6000,2000,500,7000,1000,2,arachne
0.25mm STRUCTURAL @COREONE 0.5,0.5,0.25mm STRUCTURAL @MK4S 0.5 ; *C1_Shared05* ; *C1_STR* -> 0.25mm STRUCTURAL @MK4IS 0.5 ; *MK4S_Shared05* -> 0.20mm STRUCTURAL @MK4IS 0.5 -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.25,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,70,50,200,110,70,45,350,1,15,25,45,80%,3000,2500,1500,6000,4000,2000,500,7000,1000,2,arachne
0.25mm BALANCED @COREONE HF0.5,HF0.5,0.25mm STRUCTURAL @COREONE 0.5 ; *C1_HF05* ; *C1_BALANCED* -> 0.25mm STRUCTURAL @MK4S 0.5 ; *C1_Shared05* ; *C1_STR* -> 0.25mm STRUCTURAL @MK4IS 0.5 ; *MK4S_Shared05* -> 0.20mm STRUCTURAL @MK4IS 0.5 -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1* -> *C1*,0.25,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,150,200,150,150,70,45,350,1,15,25,50,70%,3000,3000,2500,5000,5000,2000,500,7000,1000,2,arachne
0.32mm SPEED @COREONE HF0.5,HF0.5,0.32mm SPEED @MK4S HF0.5 ; *C1_HF05* ; *C1_SPEED* -> 0.32mm SPEED @MK4IS HF0.5 ; *MK4S_HF05* -> 0.25mm SPEED @MK4IS HF0.5 -> 0.25mm SPEED @MK4IS 0.5 -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.32,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,160,160,200,160,70,45,350,1,15,25,50,80%,3000,6000,3000,7000,6000,2000,500,7000,1000,2,arachne
0.32mm STRUCTURAL @COREONE HF0.5,HF0.5,0.32mm STRUCTURAL @MK4S HF0.5 ; *C1_HF05* ; *C1_STR* -> 0.32mm STRUCTURAL @MK4IS HF0.5 ; *MK4S_HF05* -> 0.25mm STRUCTURAL @MK4IS 0.5 -> 0.20mm STRUCTURAL @MK4IS 0.5 -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1*,0.32,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,70,50,200,110,70,45,350,1,15,25,45,80%,3000,2500,1500,6000,4000,2000,500,7000,1000,2,arachne
0.32mm BALANCED @COREONE HF0.5,HF0.5,0.32mm STRUCTURAL @COREONE HF0.5 ; *C1_HF05* ; *C1_BALANCED* -> 0.32mm STRUCTURAL @MK4S HF0.5 ; *C1_HF05* ; *C1_STR* -> 0.32mm STRUCTURAL @MK4IS HF0.5 ; *MK4S_HF05* -> 0.25mm STRUCTURAL @MK4IS 0.5 -> 0.20mm STRUCTURAL @MK4IS 0.5 -> 0.20mm SPEED @MK4IS 0.5 -> *MK4IS_common05* -> *MK4IS_common* -> *C1* -> *C1*,0.32,0.2,0.55,0.55,0.55,0.55,0.55,0.5,0.55,150,160,150,150,70,45,350,1,15,25,50,80%,3000,3000,2500,5000,5000,2000,500,7000,1000,2,arachne
0.15mm STRUCTURAL @COREONE 0.6,0.6,0.15mm STRUCTURAL @MK4S 0.6 ; *C1_Shared06* ; *C1_STR* -> 0.15mm STRUCTURAL @MK4IS 0.6 ; *MK4S_Shared06* -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.15,0.2,0.68,0.6,0.6,0.6,0.6,0.5,0.68,70,50,100,160,70,45,350,1,15,20,30,70%,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.20mm SPEED @COREONE 0.6,0.6,0.20mm SPEED @MK4S 0.6 ; *C1_06* ; *C1_SPEED* -> 0.20mm SPEED @MK4IS 0.6 ; *MK4S_06* -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.2,0.2,0.68,0.62,0.62,0.65,0.65,0.5,0.68,130,130,140,110,80,45,350,1,15,20,30,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.20mm SPEED @COREONE HF0.6,HF0.6,0.20mm SPEED @MK4S HF0.6 ; *C1_HF06* ; *C1_SPEED* -> 0.20mm SPEED @MK4IS HF0.6 ; *MK4S_HF06* -> 0.20mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.2,0.2,0.68,0.62,0.62,0.65,0.65,0.5,0.68,230,200,250,200,120,45,350,1,15,20,30,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.20mm BALANCED @COREONE HF0.6,HF0.6,0.20mm STRUCTURAL @COREONE 0.6 ; *C1_HF06* ; *C1_BALANCED* -> 0.20mm STRUCTURAL @MK4S 0.6 ; *C1_Shared06* ; *C1_STR* -> 0.20mm STRUCTURAL @MK4IS 0.6 ; *MK4S_Shared06* -> 0.20mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1* -> *C1*,0.2,0.2,0.68,0.62,0.62,0.65,0.65,0.5,0.68,150,200,150,150,70,45,350,1,15,20,30,70%,3000,3000,2500,5000,5000,2000,500,7000,1500,2,arachne
0.20mm STRUCTURAL @COREONE 0.6,0.6,0.20mm STRUCTURAL @MK4S 0.6 ; *C1_Shared06* ; *C1_STR* -> 0.20mm STRUCTURAL @MK4IS 0.6 ; *MK4S_Shared06* -> 0.20mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.2,0.2,0.68,0.62,0.62,0.65,0.65,0.5,0.68,70,50,100,110,70,45,350,1,15,20,30,80%,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.25mm SPEED @COREONE 0.6,0.6,0.25mm SPEED @MK4S 0.6 ; *C1_06* ; *C1_SPEED* -> 0.25mm SPEED @MK4IS 0.6 ; *MK4S_06* -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.25,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,95,75,140,90,70,45,350,1,15,20,30,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.25mm SPEED @COREONE HF0.6,HF0.6,0.25mm SPEED @MK4S HF0.6 ; *C1_HF06* ; *C1_SPEED* -> 0.25mm SPEED @MK4IS HF0.6 ; *MK4S_HF06* -> 0.25mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.25,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,200,180,200,190,120,45,350,1,15,20,30,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.25mm STRUCTURAL @COREONE 0.6,0.6,0.25mm STRUCTURAL @MK4S 0.6 ; *C1_Shared06* ; *C1_STR* -> 0.25mm STRUCTURAL @MK4IS 0.6 ; *MK4S_Shared06* -> 0.25mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.25,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,70,50,140,90,60,45,350,1,15,20,30,80%,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.25mm SOLUBLE FULL @COREONE 0.6,0.6,0.25mm STRUCTURAL @COREONE 0.6 ; *soluble_support_MMU3* -> 0.25mm STRUCTURAL @MK4S 0.6 ; *C1_Shared06* ; *C1_STR* -> 0.25mm STRUCTURAL @MK4IS 0.6 ; *MK4S_Shared06* -> 0.25mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1* -> *soluble_support*,0.25,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,70,50,140,60,60,45,350,1,15,20,30,80%,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.25mm SOLUBLE INTERFACE @COREONE 0.6,0.6,0.25mm SOLUBLE FULL @COREONE 0.6 -> 0.25mm STRUCTURAL @COREONE 0.6 ; *soluble_support_MMU3* -> 0.25mm STRUCTURAL @MK4S 0.6 ; *C1_Shared06* ; *C1_STR* -> 0.25mm STRUCTURAL @MK4IS 0.6 ; *MK4S_Shared06* -> 0.25mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1* -> *soluble_support*,0.25,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,70,50,140,60,60,45,350,1,15,20,30,80%,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.25mm BALANCED @COREONE HF0.6,HF0.6,0.25mm STRUCTURAL @MK4S 0.6 ; *C1_HF06* ; *C1_BALANCED* -> 0.25mm STRUCTURAL @MK4IS 0.6 ; *MK4S_Shared06* -> 0.25mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.25,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,150,180,150,150,60,45,350,1,15,20,30,70%,3000,3000,2500,5000,5000,2000,500,7000,1500,2,arachne
