cylinder,band,commanded_flow_mm3s,actual_flow_mm3s,speed_mm_s,n,mean_g,sd_g,delta_vs_band1_g
9,3,17.0,4.7,14.4,2267,2993.616,393.768,-228.643
9,4,19.5,4.7,14.4,2092,4096.803,735.584,874.544
9,5,22.0,5.4,16.7,1761,5812.133,1070.628,2589.874
9,6,24.5,6.0,18.4,1701,7946.594,1373.284,4724.334
9,7,27.0,6.1,18.8,1393,10183.403,1852.738,6961.144
9,8,29.5,6.8,21.0,1345,12538.560,2350.357,9316.301
9,9,32.0,7.5,23.1,1224,13564.200,3403.507,10341.941
10,1,12.0,2.9,8.8,2256,2088.975,1060.192,0.000
10,2,14.5,1.0,3.0,53,294.814,168.783,-1794.161
10,3,17.0,0.6,1.8,32,436.064,18.545,-1652.911
10,4,19.5,1.4,4.2,44,355.085,132.137,-1733.890
10,5,22.0,0.7,2.1,67,299.808,148.224,-1789.167
10,6,24.5,0.6,1.9,66,298.730,142.725,-1790.244
10,7,27.0,1.1,3.5,63,282.470,130.057,-1806.505
10,8,29.5,0.7,2.1,66,305.684,132.416,-1783.291
10,9,32.0,0.7,2.0,67,307.972,117.051,-1781.003
11,1,12.0,3.6,11.0,8156,3135.574,844.518,0.000
11,2,14.5,3.4,10.3,2808,2494.120,201.896,-641.455
11,3,17.0,4.1,12.7,2359,2965.038,200.039,-170.537
11,4,19.5,4.9,15.0,1969,3926.346,472.916,790.772
11,5,22.0,5.4,16.4,1765,5396.802,658.850,2261.228
11,6,24.5,6.5,19.9,1632,7292.306,753.392,4156.732
11,7,27.0,7.1,21.8,1386,9385.725,919.812,6250.150
11,8,29.5,7.0,21.5,1285,12195.699,1272.513,9060.125
11,9,32.0,7.7,23.7,1127,14201.581,1758.393,11066.006
